pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1maj	NA	A	0	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	1	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	2	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	3	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	4	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	5	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	6	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	7	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	8	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
1maj	NA	A	9	NA	NA	NA	NA	IMMUNOGLOBULIN	09/16/93	SOLUTION STRUCTURE OF AN ISOLATED ANTIBODY VL DOMAIN	MUS MUSCULUS		mus musculus		Constantine, K.L., Friedrichs, M.S., Metzler, W.J., Wittekind, M., Hensley, P., Mueller, L.	NOT	SOLUTION NMR	NA	NA	False	True	unknown	unknown	unknown	None	None	None
