pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2kh2	B	b	0	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	1	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	2	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	3	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	4	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	5	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	6	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	7	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	8	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
2kh2	B	b	9	A	protein	NA	interleukin-1 beta	Cytokine/IMMUNE SYSTEM	03/23/09	Solution structure of a scFv-IL-1B complex	HOMO SAPIENS; MUS MUSCULUS	mus musculus		homo sapiens	Wilkinson, I.C., Hall, C.J., Veverka, V., Muskett, F.W., Stephens, P.E., Taylor, R.J., Henry, A.J., Carr, M.D.	NOT	SOLUTION NMR	NA	NA	True	True	unknown	unknown	unknown	None	None	None	None	None
