pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4tnv	F	N	0	B	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	G	K	0	C	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	H	L	0	A	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	I	O	0	D	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	U	h	0	Q	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	V	Z	0	R	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	W	f	0	P	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	X	i	0	S	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	Y	g	0	T	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
4tnv	J	M	0	E	protein	NA	avermectin-sensitive glutamate-gated chloride channel gluclalpha 	Transport Protein/immune System	06/05/14	C. elegans glutamate-gated chloride channel (GluCl) in complex with Fab in a non-conducting conformation	CAENORHABDITIS ELEGANS; MUS MUSCULUS	mus musculus	mus musculus	caenorhabditis elegans	Althoff, T., Hibbs, R.E., Banerjee, S., Gouaux, E.	3.6	X-RAY DIFFRACTION	0.283	0.261	False	False	IGHV1	IGLV1	Lambda	None	None	None	None	None
