pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	pmid
1ieh	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	1	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	2	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	3	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	4	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	5	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	6	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	7	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	8	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
1ieh	A	NA	9	NA	NA	NA	NA	IMMUNE SYSTEM	04/09/01	SOLUTION STRUCTURE OF A SOLUBLE SINGLE-DOMAIN ANTIBODY WITH HYDROPHOBIC RESIDUES TYPICAL OF A VL/VH INTERFACE	LAMA GLAMA	lama glama			Vranken, W., Tolkatchev, D., Xu, P., Tanha, J., Chen, Z., Narang, S., Ni, F.	NOT	SOLUTION NMR	NA	NA	False	True	IGHV1	NA	NA	None	None	None
