pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2ltq	C	B	0	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	0	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	1	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	1	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	2	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	2	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	3	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	3	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	4	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	4	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	5	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	5	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	6	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	6	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	7	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	7	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	8	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	8	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	C	B	9	A	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
2ltq	F	E	9	D	protein	NA	disulfide bond formation protein b	MEMBRANE PROTEIN, OXIDOREDUCTASE	05/30/12	High resolution structure of DsbB C41S by joint calculation with solid-state NMR and X-ray data	ESCHERICHIA COLI; MUS MUSCULUS	mus musculus	mus musculus	escherichia coli	Tang, M., Sperling, L.J., Schwieters, C.D., Nesbitt, A.E., Gennis, R.B., Rienstra, C.M.	NOT	SOLID-STATE NMR	NA	NA	False	False	IGHV5	IGKV8	Kappa	None	None	None	None	None
