pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4fqr	a	b	0	A	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	c	d	0	C	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	e	f	0	E	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	g	h	0	G	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	i	j	0	I	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	k	l	0	K	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	m	n	0	M	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	o	p	0	O	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	q	r	0	Q	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	s	t	0	S	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	u	v	0	U	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
4fqr	w	x	0	W	protein	NA	broadly neutralizing antibody c05, heavy chain	VIRAL PROTEIN/IMMUNE SYSTEM	06/25/12	Crystal structure of broadly neutralizing antibody C05 bound to H3 influenza hemagglutinin	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Ekiert, D.C., Wilson, I.A.	4.1	X-RAY DIFFRACTION	0.334	0.309	False	False	IGHV3	IGKV1	Kappa	None	None	None	None	None
