pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
4k07	NA	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	B	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	C	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	D	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	E	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	F	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	G	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	H	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	I	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
4k07	NA	J	0	NA	NA	NA	NA	IMMUNE SYSTEM	04/03/13	Crystal structure of the amyloid-forming immunoglobulin AL-103 cis-proline 95 mutant	HOMO SAPIENS		homo sapiens		Thompson, J.R., Berkholz, D.S., Mahlum, E.W., Ramirez-Alvarado, M.	2.83	X-RAY DIFFRACTION	0.236	0.202	False	True	NA	IGKV1	Kappa	None	None	None	None	None
