pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
3whe	M	N	0	A	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	O	P	0	B	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	Q	R	0	C	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	S	T	0	D	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	U	V	0	E	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	W	X	0	F	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	Y	Z	0	G	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	1	2	0	H	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	3	4	0	I	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
3whe	5	6	0	J	protein	NA	hemagglutinin	VIRAL PROTEIN/IMMUNE SYSTEM	08/25/13	A new conserved neutralizing epitope at the globular head of hemagglutinin in H3N2 influenza viruses	INFLUENZA A VIRUS; HOMO SAPIENS	homo sapiens	homo sapiens	influenza a virus	Fujii, Y., Sumida, T., Shirouzu, M., Yokoyama, S.	4.0	X-RAY DIFFRACTION	0.308	0.235	False	True	IGHV1	IGLV1	Lambda	None	None	None	None	None
