pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
3upc	A	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	B	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	C	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	D	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	E	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	F	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	G	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	H	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	I	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
3upc	J	NA	0	NA	NA	NA	NA	IMMUNE SYSTEM	11/17/11	A general strategy for the generation of human antibody variable domains with increased aggregation resistance	HOMO SAPIENS	homo sapiens			Dudgeon, K., Rouet, R., Kokmeijer, I., Langley, D.B., Christ, D.	2.8	X-RAY DIFFRACTION	0.247	0.209	False	True	IGHV3	NA	NA	None	None	None	None	None
