pdb	Hchain	Lchain	model	antigen_chain	antigen_type	antigen_het_name	antigen_name	short_header	date	compound	organism	heavy_species	light_species	antigen_species	authors	resolution	method	r_free	r_factor	scfv	engineered	heavy_subclass	light_subclass	light_ctype	affinity	delta_g	affinity_method	temperature	pmid
2mmx	NA	A	19	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	18	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	17	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	16	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	15	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	14	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	13	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	12	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	11	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	10	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	9	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	8	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	7	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	6	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	5	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	4	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	3	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	2	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	1	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
2mmx	NA	A	0	NA	NA	NA	NA	IMMUNE SYSTEM	03/20/14	NMR study of 6aJL2	HOMO SAPIENS		homo sapiens		Amero, C., Maya-Martinez, R.C., Gil-Rodriguez, P.C.	NOT	SOLUTION NMR	NA	NA	False	True	NA	IGLV6	Lambda	None	None	None	None	None
